NAME,BRANDNAME,PB_ID,TRADE_NAME,FRANCHISE_NAME,ISO3,AREANAME4,AREANAME3,AREANAME2,AREANAME1,STABB,POSTCODE,FORMATTEDADDRESS,MAINADDRESSLINE,ADDRESSLASTLINE,LONGITUDE,LATITUDE,GEORESULT,CONFIDENCE_CODE,COUNTRY_ACCESS_CODE,TEL_NUM,FAXNUM,EMAIL,HTTP,OPEN_24H,BUSINESS_LINE,SIC1,SIC2,SIC8,SIC8_DESCRIPTION,ALT_INDUSTRY_CODE,MICODE,TRADE_DIVISION,GROUP,CLASS,SUB_CLASS,EMPLOYEE_HERE,EMPLOYEE_COUNT,YEAR_START,SALES_VOLUME_LOCAL,SALES_VOLUME_US_DOLLARS,CURRENCY_CODE,AGENT_CODE,LEGAL_STATUS_CODE,STATUS_CODE,SUBSIDIARY_INDICATOR,PARENT_BUSINESS_NAME,PARENT_ADDRESS,PARENT_STREET_ADDRESS,PARENT_AREANAME3,PARENT_AREANAME1,PARENT_COUNTRY,PARENT_POSTCODE,DOMESTIC_ULTIMATE_BUSINESS_NAME,DOMESTIC_ULTIMATE_ADDRESS,DOMESTIC_ULTIMATE_STREET_ADDRESS,DOMESTIC_ULTIMATE_AREANAME3,DOMESTIC_ULTIMATE_AREANAME1,DOMESTIC_ULTIMATE_POSTCODE,GLOBAL_ULTIMATE_INDICATOR,GLOBAL_ULTIMATE_BUSINESS_NAME,GLOBAL_ULTIMATE_ADDRESS,GLOBAL_ULTIMATE_STREET_ADDRESS,GLOBAL_ULTIMATE_AREANAME3,GLOBAL_ULTIMATE_AREANAME1,GLOBAL_ULTIMATE_COUNTRY,GLOBAL_ULTIMATE_POSTCODE,FAMILY_MEMBERS,HIERARCHY_CODE,TICKER_SYMBOL,EXCHANGE_NAME,geom
MARSHALLS DEPARTMENT STORE,MARSHALLS,2012028111,MARSHALLS,,USA,,ANTIOCH,CONTRA COSTA,CALIFORNIA,CA,94509,"2638 SOMERSVILLE RD, ANTIOCH, CA 94509",2638 SOMERSVILLE RD,"ANTIOCH, CA 94509",-121.842627,37.999473,T16,MEDIUM,,(925) 756-6920,,,WWW.MARSHALLSONLINE.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-121.842627 37.999473)
KASPER A S L,,2012045059,,,USA,,GILROY,SANTA CLARA,CALIFORNIA,CA,95020,"8375 ARROYO CIR, GILROY, CA 95020",8375 ARROYO CIR,"GILROY, CA 95020",-121.563579,37.022127,S8HPNTSCZA,HIGH,,(408) 847-8157,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-121.563579 37.022127)
DDS DISCOUNTS,,2012130702,,,USA,,HAYWARD,ALAMEDA,CALIFORNIA,CA,94544,"1163 W TENNYSON RD, HAYWARD, CA 94544",1163 W TENNYSON RD,"HAYWARD, CA 94544",-122.077258,37.631525,S7HPNTSCZA,HIGH,,(510) 293-0115,,,WWW.DDSDISCOUNT.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-122.077258 37.631525)
FACTORY 2-U,,2012317606,,,USA,,FRESNO,FRESNO,CALIFORNIA,CA,93710,"5243 N BLACKSTONE AVE, FRESNO, CA 93710",5243 N BLACKSTONE AVE,"FRESNO, CA 93710",-119.791736,36.812991,S8HPNTSCZA,HIGH,,(559) 432-3749,,,WWW.FALLASSTORES.NET,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-119.791736 36.812991)
PAPILLION,,2012542688,,,USA,,LOS ANGELES,LOS ANGELES,CALIFORNIA,CA,90064,"11500 W OLYMPIC BLVD, LOS ANGELES, CA 90064",11500 W OLYMPIC BLVD,"LOS ANGELES, CA 90064",-118.444158,34.035786,S8HPNTSCZA,HIGH,,(310) 444-3008,,JONATHANS@WEBCUBIC.COM,WWW.PAPILLIONART.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-118.444158 34.035786)
FAMSA INC SAN FERNANDO,,2012627314,,,USA,,SAN FERNANDO,LOS ANGELES,CALIFORNIA,CA,91340,"1030 CELIS ST, SAN FERNANDO, CA 91340",1030 CELIS ST,"SAN FERNANDO, CA 91340",-118.442276,34.281863,S8HPNTSCZA,HIGH,,(818) 741-0011,,,WWW.FAMSA.COM/,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-118.442276 34.281863)
RIO SOCKS,,2012745971,,,USA,,POMONA,LOS ANGELES,CALIFORNIA,CA,91766,"2001 S GAREY AVE, POMONA, CA 91766",2001 S GAREY AVE,"POMONA, CA 91766",-117.750651,34.035566,S8HPNTSCZA,HIGH,,(909) 627-6903,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-117.750651 34.035566)
FOX G & CO,,2013041494,,,USA,,HARTFORD,HARTFORD,CONNECTICUT,CT,06103,"950 MAIN ST, HARTFORD, CT 06103",950 MAIN ST,"HARTFORD, CT 06103",-72.672619,41.768315,S8HPNTSCZA,HIGH,,(800) 842-1520,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-72.672619 41.768315)
EVERGREEN WALK LIFESTYLE CENTER,,2013058739,,,USA,,SOUTH WINDSOR,HARTFORD,CONNECTICUT,CT,06074,"503 EVERGREEN WAY, SOUTH WINDSOR, CT 06074",503 EVERGREEN WAY,"SOUTH WINDSOR, CT 06074",-72.5558,41.8146,T16,MEDIUM,,(860) 432-3398,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-72.5558 41.8146)
SALES CORPORATION OFFICE,,2013109444,,,USA,,WINDSOR LOCKS,HARTFORD,CONNECTICUT,CT,06096,"7 WOODLAND HOLLOW ST, WINDSOR LOCKS, CT 06096",7 WOODLAND HOLLOW ST,"WINDSOR LOCKS, CT 06096",-72.654028,41.927869,S8HPNTSCZA,HIGH,,(860) 623-9893,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-72.654028 41.927869)
DOLLAR STORE,,2013172372,,,USA,,WASHINGTON,DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,DC,20002,"1400 N CAPITOL ST NW, WASHINGTON, DC 20002",1400 N CAPITOL ST NW,"WASHINGTON, DC 20002",-77.009458,38.908736,S8HPNTSCZA,HIGH,,(202) 232-6595,,PRESS@FAMILYDOLLAR.COM,FAMILYDOLLAR.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-77.009458 38.908736)
ALVINS ISLAND DEPARTMENT STORES,,2013350022,,,USA,,MIRAMAR BEACH,WALTON,FLORIDA,FL,32550,"1976 SCENIC GULF DR, MIRAMAR BEACH, FL 32550",1976 SCENIC GULF DR,"MIRAMAR BEACH, FL 32550",-86.380911,30.378342,S8HPNTSCZA,HIGH,,(850) 837-9638,,WEB_SUPPORT@MARCODESTIN.NET,WWW.ALVINSISLAND.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-86.380911 30.378342)
SWEET BLUE,,2013380786,,,USA,,TALLAHASSEE,LEON,FLORIDA,FL,32312,"6668 THOMASVILLE RD, TALLAHASSEE, FL 32312",6668 THOMASVILLE RD,"TALLAHASSEE, FL 32312",-84.219545,30.561186,S8HPNTSCZA,HIGH,,(850) 222-2583,,,WWW.SWEETBLUEGIFTS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-84.219545 30.561186)
AMERICANMEGAMALLCOM,,2013459527,,,USA,,JACKSONVILLE,DUVAL,FLORIDA,FL,32218,"11533 AMERICANA LN, JACKSONVILLE, FL 32218",11533 AMERICANA LN,"JACKSONVILLE, FL 32218",-81.628666,30.445861,S8HPNTSCZA,HIGH,,(904) 683-4853,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-81.628666 30.445861)
FAMILY FRIEND FASHION,,2013471712,,,USA,,JACKSONVILLE,DUVAL,FLORIDA,FL,32246,"9731 BEACH BLVD, JACKSONVILLE, FL 32246",9731 BEACH BLVD,"JACKSONVILLE, FL 32246",-81.558135,30.287543,S8HPNTSCZA,HIGH,,(904) 619-4578,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-81.558135 30.287543)
FAMILY MATTERS,,2013779036,,,USA,,LAKE WORTH,PALM BEACH,FLORIDA,FL,33462,"1216 LANTANA RD, LAKE WORTH, FL 33462",1216 LANTANA RD,"LAKE WORTH, FL 33462",-80.063574,26.586815,S8HPNTS-ZA,HIGH,,(561) 586-0467,,,FAMILYMATTERSCENTER.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-80.063574 26.586815)
STEIN MART,STEIN MART,2013832496,STEIN MART,,USA,,JUPITER,PALM BEACH,FLORIDA,FL,33469,"105 N US HIGHWAY 1, JUPITER, FL 33469",105 N US HIGHWAY 1,"JUPITER, FL 33469",-80.083535,26.960718,T20,LOW,,(561) 575-5778,,LTASSEFF@STEINMART.COM,WWW.STEINMART.COM/,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-80.083535 26.960718)
CITI TRENDS,CITI TRENDS,2014071740,CITI TRENDS,,USA,,LAWRENCEVILLE,GWINNETT,GEORGIA,GA,30043,"2100 RIVERSIDE PKWY, LAWRENCEVILLE, GA 30043",2100 RIVERSIDE PKWY,"LAWRENCEVILLE, GA 30043",-84.034007,33.966415,S8HPNTSCZA,HIGH,,(770) 277-3082,,INFO@CITITRENDS.COM,WWW.CITITRENDS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-84.034007 33.966415)
SEARS AUTO CENTER,SEARS,2014078626,SEARS,,USA,,ATLANTA,COBB,GEORGIA,GA,30339,"2940 COBB PKWY SE, ATLANTA, GA 30339",2940 COBB PKWY SE,"ATLANTA, GA 30339",-84.466101,33.879570,S8HPNTSCZA,HIGH,,(770) 433-7525,,,WWW.SEARS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-84.466101 33.87957)
D & S STORES,,2014098228,,,USA,,CHATSWORTH,MURRAY,GEORGIA,GA,30705,"401 S 3RD AVE, CHATSWORTH, GA 30705",401 S 3RD AVE,"CHATSWORTH, GA 30705",-84.770329,34.761734,S8HPNTSCZA,HIGH,,(706) 695-0734,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-84.770329 34.761734)
DEBBIE BULLS,,2014111178,,,USA,,LITHONIA,DEKALB,GEORGIA,GA,30058,"599 SHADOW VALLEY CT, LITHONIA, GA 30058",599 SHADOW VALLEY CT,"LITHONIA, GA 30058",-84.136533,33.767155,S8HPNTSCZA,HIGH,,(770) 879-7566,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-84.136533 33.767155)
CITI TRENDS,CITI TRENDS,2014188453,CITI TRENDS,,USA,,THOMSON,MCDUFFIE,GEORGIA,GA,30824,"1243 WASHINGTON RD, THOMSON, GA 30824",1243 WASHINGTON RD,"THOMSON, GA 30824",-82.504816,33.489997,S5HPNTSCZA,HIGH,,(706) 595-2550,,INFO@CITITRENDS.COM,WWW.CITITRENDS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-82.504816 33.489997)
PEEBLES,PEEBLES,2014228809,PEEBLES,,USA,,FITZGERALD,BEN HILL,GEORGIA,GA,31750,"162 OCILLA HWY, FITZGERALD, GA 31750",162 OCILLA HWY,"FITZGERALD, GA 31750",-83.249715,31.701089,S8HPNTSCZA,HIGH,,(229) 423-3309,,,WWW.PEEBLES.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-83.249715 31.701089)
ALLIED DEPARTMENT STORE,,2014247042,,,USA,,QUITMAN,BROOKS,GEORGIA,GA,31643,"201 E SCREVEN ST, QUITMAN, GA 31643",201 E SCREVEN ST,"QUITMAN, GA 31643",-83.558898,30.784563,S8HPNTSCZA,HIGH,,(229) 263-7774,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-83.558898 30.784563)
K 'S MERCHANDISE,,2014332696,,,USA,,DAVENPORT,SCOTT,IOWA,IA,52806,"3509 N MAIN ST, DAVENPORT, IA 52806",3509 N MAIN ST,"DAVENPORT, IA 52806",-90.574429,41.555345,S8HPNTSCZA,HIGH,,(563) 388-1510,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-90.574429 41.555345)
GORDMANS,,2014515648,,,USA,,ROCKFORD,WINNEBAGO,ILLINOIS,IL,61108,"7143 E STATE ST, ROCKFORD, IL 61108",7143 E STATE ST,"ROCKFORD, IL 61108",-88.976870,42.268615,S8HPNTSCZA,HIGH,,(815) 484-9330,,GORDMANS@GORDMANS.COM,WWW.GORDMANS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-88.97687 42.268615)
HART SCHAFFNER & MARX,,2014617041,,,USA,,DES PLAINES,COOK,ILLINOIS,IL,60018,"1700 E TOUHY AVE, DES PLAINES, IL 60018",1700 E TOUHY AVE,"DES PLAINES, IL 60018",-87.880934,42.011151,S8HPNTSCZA,HIGH,,(847) 298-6007,,,HARTSCHAFFNERMARX.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-87.880934 42.011151)
SEARS,SEARS,2014626267,SEARS,,USA,,LOMBARD,DUPAGE,ILLINOIS,IL,60148,"812 E SAINT CHARLES RD, LOMBARD, IL 60148",812 E SAINT CHARLES RD,"LOMBARD, IL 60148",-87.996774,41.890194,S8HPNTSCZA,HIGH,,(630) 629-9229,,,WWW.SEARS.COM,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-87.996774 41.890194)
DJUNDI KARJADI,,2014682210,,,USA,,BARTLETT,DUPAGE,ILLINOIS,IL,60103,"1189 CHARTER OAKS DR, BARTLETT, IL 60103",1189 CHARTER OAKS DR,"BARTLETT, IL 60103",-88.206781,41.963203,S8HPNTSCZA,HIGH,,(630) 855-8074,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-88.206781 41.963203)
DOLLAR SQUARE,,2014710128,,,USA,,SCHAUMBURG,COOK,ILLINOIS,IL,60193,"1100 S ROSELLE RD, SCHAUMBURG, IL 60193",1100 S ROSELLE RD,"SCHAUMBURG, IL 60193",-88.080410,42.006378,S8HPNTSCZA,HIGH,,(224) 653-8108,,,,,,5311,,53110000,DEPARTMENT STORES,,10010101,DIVISION G. - RETAIL TRADE,GENERAL MERCHANDISE STORES,DEPARTMENT STORES,DEPARTMENT STORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT(-88.08041 42.006378)
